Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted
SVM,0.8347826086956521,0.8547314578005114,0.8347826086956521,0.8408695652173913
Hybrid (ANN + RF),0.8347826086956521,0.8400663455647591,0.8347826086956521,0.8365644151731957
ANN,0.8260869565217391,0.8340950455005055,0.8260869565217391,0.8288226673180265
XGBoost,0.8260869565217391,0.8366761159875679,0.8260869565217391,0.8249685798072893
Random Forest,0.8173913043478261,0.8304499896315753,0.8173913043478261,0.8161351683413495
Logistic Regression,0.7652173913043478,0.8000372343472533,0.7652173913043478,0.7691666917451624
Decision Tree,0.7043478260869566,0.7122790253225035,0.7043478260869566,0.7053299232736573
KNN,0.7043478260869566,0.7106511337632619,0.7043478260869566,0.702828952135052
